algorithm  #entries(n)  countComparisons  bigOcountComparisons
nlogn           5               26                 34
nlogn           4               20                 22
nlogn           4               20                 22
nlogn           7               41                 67
nlogn           6               43                 49
nlogn           4               20                 22
nlogn           6               32                 49
nlogn           3               11                 12
nlogn           1               2                 1
nlogn           1               2                 1
nlogn           6               32                 49
nlogn           3               11                 12
nlogn           5               26                 34
nlogn           3               11                 12
nlogn           5               26                 34
nlogn           4               20                 21
nlogn           4               20                 21
nlogn           7               41                 66
nlogn           6               43                 48
nlogn           4               20                 21
nlogn           6               32                 48
nlogn           3               11                 12
nlogn           1               2                 1
nlogn           1               2                 1
nlogn           6               32                 48
nlogn           3               11                 12
nlogn           5               26                 34
nlogn           3               11                 12
